"Freq","subject_test","subject_train"
FALSE,TRUE,FALSE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,FALSE,TRUE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,FALSE,TRUE
FALSE,TRUE,FALSE
FALSE,FALSE,TRUE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,FALSE,TRUE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
